timestamp,product_name,expiry_date,quantity,unit_price,channel,payment_method,discount,final price
Tue Apr 18 00:00:00 EET 2023,Wine - White Pinot Grigio,Sat Jun 10 00:00:00 EET 2023,6,122.47,Store, Visa, 6.1235, 116.34649999999999
Sun Apr 09 00:00:00 EET 2023,Pepper - Red Thai,Mon May 22 00:00:00 EET 2023,5,23.18,Store, Cash, 0.5, 22.68
Tue May 09 00:00:00 EET 2023,Wine - Chardonnay Mondavi,Fri Aug 04 00:00:00 EET 2023,7,189.74,Store, Cash, 9.487, 180.25300000000001
Sun Apr 09 00:00:00 EET 2023,External Supplier,Tue May 23 00:00:00 EET 2023,14,9.92,App, Visa, 1.0912000000000002, 8.8288
Mon Mar 27 00:00:00 EET 2023,Beans - Black Bean Preserved,Sun May 28 00:00:00 EET 2023,13,145.85,Store, Cash, 5.60475, 140.24525
Thu Apr 27 00:00:00 EET 2023,Beef - Inside Round,Tue Jul 18 00:00:00 EET 2023,9,247.62,Store, Visa, 12.381, 235.239
Tue May 02 00:00:00 EET 2023,Bread - Calabrese Baguette,Sun May 28 00:00:00 EET 2023,1,111.21,Store, Visa, 5.00445, 106.20554999999999
Fri Mar 17 00:00:00 EET 2023,Zucchini - Mini Green,Fri May 05 00:00:00 EET 2023,15,146.75,Store, Visa, 11.006250000000001, 135.74375
Wed Mar 22 00:00:00 EET 2023,Eggs - Extra Large,Sat Apr 08 00:00:00 EET 2023,16,48.05,App, Visa, 7.92825, 40.12175
Thu May 11 00:00:00 EET 2023,Pork - Liver,Thu Jul 20 00:00:00 EET 2023,17,191.13,Store, Visa, 14.33475, 176.79525
Tue Apr 04 00:00:00 EET 2023,Sesame Seed,Thu Jun 08 00:00:00 EET 2023,4,62.69,Store, Cash, 0.5, 62.19
Fri Apr 14 00:00:00 EET 2023,Tuna - Yellowfin,Tue May 23 00:00:00 EET 2023,9,183.3,Store, Cash, 5.0825000000000005, 178.2175
Sun Apr 23 00:00:00 EET 2023,Wine - Magnotta - Belpaese,Fri May 12 00:00:00 EET 2023,9,101.36,Store, Cash, 8.1088, 93.2512
Wed Apr 26 00:00:00 EET 2023,Bar Bran Honey Nut,Thu Jul 20 00:00:00 EET 2023,15,13.21,Store, Cash, 1.1605, 12.0495
Sun Apr 23 00:00:00 EET 2023,Cake - French Pear Tart,Tue Jul 11 00:00:00 EET 2023,12,215.63,Store, Cash, 8.04705, 207.58294999999998
Mon Apr 24 00:00:00 EET 2023,Carbonated Water - Wildberry,Wed Jul 19 00:00:00 EET 2023,2,19.31,Store, Cash, 0.5, 18.81
Thu Apr 06 00:00:00 EET 2023,Pork - Ham Virginia,Sun Jun 18 00:00:00 EET 2023,14,208.26,Store, Cash, 7.7891, 200.4709
Sun Apr 30 00:00:00 EET 2023,Wine - Prosecco Valdobienne,Thu Jun 01 00:00:00 EET 2023,15,221.11,Store, Visa, 16.583250000000003, 204.52675000000002
Sun Apr 23 00:00:00 EET 2023,Lettuce - Boston Bib - Organic,Tue Jun 13 00:00:00 EET 2023,6,96.43,Store, Visa, 4.8215, 91.6085
Wed Apr 05 00:00:00 EET 2023,Wine - Marlbourough Sauv Blanc,Mon Apr 10 00:00:00 EET 2023,4,233.83,App, Visa, 35.0745, 198.7555
Thu Apr 13 00:00:00 EET 2023,Longos - Chicken Cordon Bleu,Sun May 28 00:00:00 EET 2023,16,193.04,Store, Cash, 10.152000000000001, 182.88799999999998
Wed Apr 19 00:00:00 EET 2023,Beef Striploin Aaa,Tue Jun 06 00:00:00 EET 2023,9,81.77,Store, Cash, 2.54425, 79.22574999999999
Sat Apr 29 00:00:00 EET 2023,Sauce - Oyster,Mon May 15 00:00:00 EET 2023,2,69.06,App, Visa, 6.560700000000001, 62.499300000000005
Mon Apr 03 00:00:00 EET 2023,Barley - Pearl,Mon May 29 00:00:00 EET 2023,3,94.98,App, Visa, 4.7490000000000006, 90.23100000000001
Tue May 09 00:00:00 EET 2023,Cheese Cloth No 60,Tue Jun 20 00:00:00 EET 2023,16,49.41,App, Visa, 7.4115, 41.99849999999999
Sat Mar 25 00:00:00 EET 2023,Cut Wakame - Hanawakaba,Sat Jun 17 00:00:00 EET 2023,16,190.34,Store, Cash, 10.017000000000001, 180.323
Fri May 12 00:00:00 EET 2023,Kolrabi,Sat May 20 00:00:00 EET 2023,14,29.13,App, Visa, 5.389049999999999, 23.740949999999998
Wed May 03 00:00:00 EET 2023,Coffee - Espresso,Wed May 31 00:00:00 EET 2023,12,61.91,App, Visa, 6.8101, 55.0999
Sat Apr 29 00:00:00 EET 2023,Beef - Kindney Whole,Sun Apr 30 00:00:00 EET 2023,14,7.41,Store, Visa, 1.5744500000000001, 5.83555
Wed May 10 00:00:00 EET 2023,Honey - Comb,Mon Jul 03 00:00:00 EET 2023,3,97.54,Store, Visa, 2.9385000000000003, 94.6015
Wed Apr 19 00:00:00 EET 2023,Soup Campbells Turkey Veg.,Mon Apr 24 00:00:00 EET 2023,1,1.86,Store, Cash, 0.7325, 1.1275
Sat Apr 15 00:00:00 EET 2023,Syrup - Monin - Blue Curacao,Wed Apr 19 00:00:00 EET 2023,9,62.85,Store, Visa, 9.74175, 53.10825
Fri Apr 21 00:00:00 EET 2023,Coffee Beans - Chocolate,Sat Jul 15 00:00:00 EET 2023,15,29.33,Store, Cash, 1.9665, 27.3635
Thu Apr 13 00:00:00 EET 2023,Wine - Vidal Icewine Magnotta,Mon May 29 00:00:00 EET 2023,17,220.37,App, Visa, 33.0555, 187.3145
Wed Mar 29 00:00:00 EET 2023,Island Oasis - Peach Daiquiri,Sun Jun 18 00:00:00 EET 2023,16,128.13,Store, Visa, 9.60975, 118.52024999999999
Tue Apr 04 00:00:00 EET 2023,Lychee,Sat Jul 01 00:00:00 EET 2023,4,16.08,Store, Cash, 0.5, 15.579999999999998
Fri Mar 17 00:00:00 EET 2023,Contreau,Sun Apr 16 00:00:00 EET 2023,11,222.63,App, Visa, 24.4893, 198.14069999999998
Sat Apr 08 00:00:00 EET 2023,Cheese - Taleggio D.o.p.,Thu Apr 27 00:00:00 EET 2023,1,205.18,Store, Visa, 21.5439, 183.6361
Thu Mar 30 00:00:00 EET 2023,Persimmons,Mon May 01 00:00:00 EET 2023,14,80.81,Store, Cash, 3.3283500000000004, 77.48165
Wed Mar 29 00:00:00 EET 2023,Towels - Paper / Kraft,Tue May 02 00:00:00 EET 2023,7,17.24,Store, Cash, 0.931, 16.308999999999997
Mon Mar 27 00:00:00 EET 2023,Pastry - Cheese Baked Scones,Thu Jun 08 00:00:00 EET 2023,11,232.08,App, Visa, 25.528800000000004, 206.5512
Fri Apr 07 00:00:00 EET 2023,Honey - Liquid,Sat Jul 01 00:00:00 EET 2023,16,103.96,Store, Cash, 5.698, 98.262
Sun Apr 09 00:00:00 EET 2023,Veal - Bones,Fri Jun 30 00:00:00 EET 2023,14,48.36,App, Visa, 5.319599999999999, 43.0404
Sat Apr 08 00:00:00 EET 2023,Beets,Sat Apr 15 00:00:00 EET 2023,16,108.46,Store, Cash, 17.895899999999997, 90.5641
Tue Apr 25 00:00:00 EET 2023,Wine - Saint Emilion Calvet,Mon Jun 05 00:00:00 EET 2023,5,31.56,App, Visa, 1.578, 29.982
Thu Apr 13 00:00:00 EET 2023,Coffee - Ristretto Coffee Capsule,Fri Jun 23 00:00:00 EET 2023,12,234.0,Store, Visa, 14.040000000000003, 219.96
Tue Mar 21 00:00:00 EET 2023,Beef - Tenderlion Center Cut,Sat Apr 08 00:00:00 EET 2023,7,245.12,Store, Visa, 20.8352, 224.28480000000002
Wed Apr 12 00:00:00 EET 2023,Pails With Lids,Sat Jul 08 00:00:00 EET 2023,5,156.56,App, Visa, 7.827999999999999, 148.732
Sat Apr 22 00:00:00 EET 2023,Wine - Cousino Macul Antiguas,Fri May 26 00:00:00 EET 2023,1,78.82,Store, Visa, 3.941, 74.87899999999999
Sat Mar 25 00:00:00 EET 2023,Puree - Mango,Tue Jun 20 00:00:00 EET 2023,7,236.95,Store, Cash, 6.42375, 230.52624999999998
